word,count
地铁,105
深圳,23
味道,20
臭,19
异味,19
人,15
夏天,14
臭味,11
通勤,10
地铁站,9
坐地铁,9
腋下,9
气味,8
闻到,8
广州,8
味,8
高峰,7
挤,6
怎么,5
遇到,5
狐臭,5
上海,4
注意,4
车厢,4
臭臭,4
尴尬,4
一个,3
北京地铁,3
站,3
没有,3
时候,3
高峰期,3
自己,3
屎,3
每天,3
各种,3
来,3
今天,3
晕车,3
口罩,3
~,3
对,3
问题,3
夏日,3
香,3
看,3
风扇,3
喷雾,3
尿,2
骚味,2
味儿,2
..,2
想,2
地狱,2
熏得,2
时,2
干净,2
汗臭味,2
除味剂,2
香水,2
大,2
空调,2
月,2
口,2
打,2
工人,2
喷,2
走,2
奇怪,2
口臭,2
福州,2
喜欢,2
闻,2
原来,2
好好,2
还是,2
戴,2
可以,2
垃圾,2
多,2
男,2
上班,2
做,2
‍,2
过,2
止,2
如何,2
和,2
车,2
佛手柑,2
到,2
点,2
左右,2
人们,2
快,2
广东,2
Ծ,2
12,2
一到,2
成,2
热浪,2
鼻吸,2
|,2
公交,2
不怕,2
终于,2
柑橘,2
香薰,2
不想,2
这样,2
一周,2
只有,2
简单,2
丨,2
浓烟,2
东莞,2
还,2
吹,2
跑,2
歧视,2
贴,2
拯救,2
去,2
姐妹,2
信,2
给,2
制造,2
卫生间,2
党,2
救星,2
到底,2
专属,2
i,2
护手霜,2
面具,2
腌,2
后,2
​,2
怎么办,2
退退,2
退,2
衣服,2
族,2
请大,2
数据,2
出汗,2
八卦岭,1
刺激性,1
会飘出,1
求助,1
港铁,1
员工,1
or,1
本地,1
就是,1
牛马,1
一些,1
思考,1
洗澡,1
馊得,1
嘛,1
进,1
那股,1
地下,1
设施,1
特殊,1
之狐香,1
最近,1
南山,1
几天,1
滂,1
未解,1
之谜,1
头疼,1
刷怪,1
笼,1
香香的,1
女孩子,1
附议,1
很,1
深港,1
口岸,1
附近,1
浓烈,1
安检,1
喷点,1
吧,1
扛,1
住,1
恨,1
神奇,1
很香,1
新线路,1
塞,1
光輝,1
歲,1
安達,1
西門,1
子模,1
塊化,1
列車,1
霉味,1
最臭,1
一条,1
线路,1
深大,1
A3,1
令,1
无数,1
破防,1
爱,1
大快人心,1
时刻,1
爆个,1
瓜,1
个,1
曾,1
珠江,1
新城,1
忍受,1
开始,1
港,1
铁有,1
股,1
国外,1
同事,1
善意,1
提醒,1
绝望,1
奇奇怪怪,1
让,1
差点,1
当场,1
yue,1
孜然,1
撒,1
MTR,1
毛病,1
技艺,1
生疏,1
倒退,1
成刚,1
样子,1
变态,1
有点,1
18,1
转,1
股味,1
哈尔滨,1
我活,1
15,1
得,1
柠檬,1
葡萄柚,1
鼻吸棒,1
已经,1
运,1
挣钱,1
意义,1
之,1
商务,1
座,1
十号,1
铁锈,1
越来越,1
!,1
有些,1
太臭,1
恩赐,1
癖好,1
哟,1
www,1
13,1
小白鼠,1
当,1
警犬,1
蹭,1
回到,1
吃饭,1
于是,1
勇敢,1
φ,1
护身符,1
对不起,1
之前,1
说话声,1
太大,1
雪松,1
湿巾,1
救,1
狗命,1
宁波,1
八号,1
能不来,1
别来,1
00,1
桂城,1
内,1
你们,1
进食,1
何时,1
运营,1
舆情,1
应对,1
才能,1
套路,1
化,1
踩,1
事件,1
声明,1
拒绝,1
空气,1
清新剂,1
震撼,1
庞臭,1
深铁,1
百态,1
雾漫前,1
海湾,1
17,1
40,1
号岗厦,1
北方,1
向,1
怪味,1
懂,1
新加坡,1
巴,1
士官,1
宣新规,1
最高,1
罚款,1
$,1
5000,1
敏感,1
好像,1
拆,1
盲盒,1
榴莲,1
回应,1
香水味,1
熏,1
逼仄,1
四号线,1
城际,1
前,1
拥后,1
‸,1
杂交,1
人味儿,1
臭晕,1
尝鲜,1
第一次,1
出,1
复杂,1
min,1
鼻,1
受不了,1
建议,1
看看,1
棉棒,1
好似,1
酷刑,1
培养皿,1
挤完,1
感觉,1
特种兵,1
据说,1
芝加哥,1
check,1
大暑,1
·,1
中,1
身心,1
警报,1
臭车,1
太好了,1
我们,1
有救,1
栓,1
Q,1
高铁,1
问,1
三次,1
这真,1
智商,1
税,1
小确幸,1
出门,1
出租车,1
活过来,1
蒸笼,1
一喷,1
劈开,1
人潮,1
续命,1
掐灭,1
感,1
路上,1
确幸,1
蜡烛,1
挂,1
希望,1
